Sample,Time,Site,Inoculum,Rep
1D01,T3_Bag,Desert,Desert,1
1D02,T3_Bag,Desert,Desert,2
1D03,T3_Bag,Desert,Desert,3
1D04,T3_Bag,Desert,Desert,4
1G01,T3_Bag,Desert,Grassland,1
1G02,T3_Bag,Desert,Grassland,2
1G03,T3_Bag,Desert,Grassland,3
1G04,T3_Bag,Desert,Grassland,4
1P01,T3_Bag,Desert,Pine-Oak,1
1P02,T3_Bag,Desert,Pine-Oak,2
1P03,T3_Bag,Desert,Pine-Oak,3
1P04,T3_Bag,Desert,Pine-Oak,4
1S01,T3_Bag,Desert,Subalpine,1
1S02,T3_Bag,Desert,Subalpine,2
1S03,T3_Bag,Desert,Subalpine,3
1S04,T3_Bag,Desert,Subalpine,4
1W01,T3_Bag,Desert,Scrubland,1
1W02,T3_Bag,Desert,Scrubland,2
1W03,T3_Bag,Desert,Scrubland,3
1W04,T3_Bag,Desert,Scrubland,4
2D01,T3_Bag,Grassland,Desert,1
2D02,T3_Bag,Grassland,Desert,2
2D04,T3_Bag,Grassland,Desert,4
2G01,T3_Bag,Grassland,Grassland,1
2G02,T3_Bag,Grassland,Grassland,2
2G03,T3_Bag,Grassland,Grassland,3
2G04,T3_Bag,Grassland,Grassland,4
2P01,T3_Bag,Grassland,Pine-Oak,1
2P02,T3_Bag,Grassland,Pine-Oak,2
2P03,T3_Bag,Grassland,Pine-Oak,3
2P04,T3_Bag,Grassland,Pine-Oak,4
2S01,T3_Bag,Grassland,Subalpine,1
2S02,T3_Bag,Grassland,Subalpine,2
2S03,T3_Bag,Grassland,Subalpine,3
2S04,T3_Bag,Grassland,Subalpine,4
2W01,T3_Bag,Grassland,Scrubland,1
2W02,T3_Bag,Grassland,Scrubland,2
2W03,T3_Bag,Grassland,Scrubland,3
2W04,T3_Bag,Grassland,Scrubland,4
3D01,T3_Bag,Pine-Oak,Desert,1
3D02,T3_Bag,Pine-Oak,Desert,2
3D03,T3_Bag,Pine-Oak,Desert,3
3D04,T3_Bag,Pine-Oak,Desert,4
3G01,T3_Bag,Pine-Oak,Grassland,1
3G02,T3_Bag,Pine-Oak,Grassland,2
3G03,T3_Bag,Pine-Oak,Grassland,3
3G04,T3_Bag,Pine-Oak,Grassland,4
3P01,T3_Bag,Pine-Oak,Pine-Oak,1
3P02,T3_Bag,Pine-Oak,Pine-Oak,2
3P03,T3_Bag,Pine-Oak,Pine-Oak,3
3P04,T3_Bag,Pine-Oak,Pine-Oak,4
3S01,T3_Bag,Pine-Oak,Subalpine,1
3S02,T3_Bag,Pine-Oak,Subalpine,2
3S03,T3_Bag,Pine-Oak,Subalpine,3
3S04,T3_Bag,Pine-Oak,Subalpine,4
3W01,T3_Bag,Pine-Oak,Scrubland,1
3W02,T3_Bag,Pine-Oak,Scrubland,2
3W03,T3_Bag,Pine-Oak,Scrubland,3
3W04,T3_Bag,Pine-Oak,Scrubland,4
4D01,T3_Bag,Scrubland,Desert,1
4D02,T3_Bag,Scrubland,Desert,2
4D03,T3_Bag,Scrubland,Desert,3
4D04,T3_Bag,Scrubland,Desert,4
4G01,T3_Bag,Scrubland,Grassland,1
4G02,T3_Bag,Scrubland,Grassland,2
4G03,T3_Bag,Scrubland,Grassland,3
4G04,T3_Bag,Scrubland,Grassland,4
4P01,T3_Bag,Scrubland,Pine-Oak,1
4P02,T3_Bag,Scrubland,Pine-Oak,2
4P03,T3_Bag,Scrubland,Pine-Oak,3
4P04,T3_Bag,Scrubland,Pine-Oak,4
4S01,T3_Bag,Scrubland,Subalpine,1
4S02,T3_Bag,Scrubland,Subalpine,2
4S03,T3_Bag,Scrubland,Subalpine,3
4S04,T3_Bag,Scrubland,Subalpine,4
4W01,T3_Bag,Scrubland,Scrubland,1
4W02,T3_Bag,Scrubland,Scrubland,2
4W03,T3_Bag,Scrubland,Scrubland,3
4W04,T3_Bag,Scrubland,Scrubland,4
5D01,T3_Bag,Subalpine,Desert,1
5D02,T3_Bag,Subalpine,Desert,2
5D03,T3_Bag,Subalpine,Desert,3
5D04,T3_Bag,Subalpine,Desert,4
5G01,T3_Bag,Subalpine,Grassland,1
5G02,T3_Bag,Subalpine,Grassland,2
5G03,T3_Bag,Subalpine,Grassland,3
5G04,T3_Bag,Subalpine,Grassland,4
5P01,T3_Bag,Subalpine,Pine-Oak,1
5P02,T3_Bag,Subalpine,Pine-Oak,2
5P03,T3_Bag,Subalpine,Pine-Oak,3
5P04,T3_Bag,Subalpine,Pine-Oak,4
5S01,T3_Bag,Subalpine,Subalpine,1
5S02,T3_Bag,Subalpine,Subalpine,2
5S03,T3_Bag,Subalpine,Subalpine,3
5S04,T3_Bag,Subalpine,Subalpine,4
5W01,T3_Bag,Subalpine,Scrubland,1
5W02,T3_Bag,Subalpine,Scrubland,2
5W03,T3_Bag,Subalpine,Scrubland,3
5W04,T3_Bag,Subalpine,Scrubland,4
ZD01,T0_Bag,Desert,Desert,1
ZD02,T0_Bag,Desert,Desert,2
ZD03,T0_Bag,Desert,Desert,3
ZD04,T0_Bag,Desert,Desert,4
ZG01,T0_Bag,Grassland,Grassland,1
ZG02,T0_Bag,Grassland,Grassland,2
ZG03,T0_Bag,Grassland,Grassland,3
ZG04,T0_Bag,Grassland,Grassland,4
ZP01,T0_Bag,Pine-Oak,Pine-Oak,1
ZP02,T0_Bag,Pine-Oak,Pine-Oak,2
ZP03,T0_Bag,Pine-Oak,Pine-Oak,3
ZP04,T0_Bag,Pine-Oak,Pine-Oak,4
ZS01,T0_Bag,Subalpine,Subalpine,1
ZS02,T0_Bag,Subalpine,Subalpine,2
ZS03,T0_Bag,Subalpine,Subalpine,3
ZS04,T0_Bag,Subalpine,Subalpine,4
ZW01,T0_Bag,Scrubland,Scrubland,1
ZW02,T0_Bag,Scrubland,Scrubland,2
ZW03,T0_Bag,Scrubland,Scrubland,3
ZW04,T0_Bag,Scrubland,Scrubland,4
Y101,T3_Survey,Desert,Desert,1
Y102,T3_Survey,Desert,Desert,2
Y103,T3_Survey,Desert,Desert,3
Y104,T3_Survey,Desert,Desert,4
Y201,T3_Survey,Grassland,Grassland,1
Y202,T3_Survey,Grassland,Grassland,2
Y203,T3_Survey,Grassland,Grassland,3
Y204,T3_Survey,Grassland,Grassland,4
Y301,T3_Survey,Pine-Oak,Pine-Oak,1
Y302,T3_Survey,Pine-Oak,Pine-Oak,2
Y303,T3_Survey,Pine-Oak,Pine-Oak,3
Y304,T3_Survey,Pine-Oak,Pine-Oak,4
Y401,T3_Survey,Scrubland,Scrubland,1
Y402,T3_Survey,Scrubland,Scrubland,2
Y403,T3_Survey,Scrubland,Scrubland,3
Y404,T3_Survey,Scrubland,Scrubland,4
Y501,T3_Survey,Subalpine,Subalpine,1
Y502,T3_Survey,Subalpine,Subalpine,2
Y503,T3_Survey,Subalpine,Subalpine,3
Y504,T3_Survey,Subalpine,Subalpine,4
Y601,T3_Survey,Salton_Sea,Salton_Sea,1
Y602,T3_Survey,Salton_Sea,Salton_Sea,2
Y603,T3_Survey,Salton_Sea,Salton_Sea,3
Y604,T3_Survey,Salton_Sea,Salton_Sea,4
